id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
30,2025-03-10,Cliente_017,Tablet,Celulares,Nordeste,2,2037.02
31,DATA INVALIDA,Cliente_004,Smartphone,Celulares,Nordeste,5,2203.57
32,2025-08-07,Cliente_036,Smartphone,Celulares,Nordeste,,2234.11
33,2025-03-07,Cliente_003,Teclado,Perifericos,Sul,9,223.61
34,2025-07-01,Cliente_050,Mouse,Perifericos,Sul,4,126.01
35,2025-04-01,Cliente_027,Headset,Perifericos,Sul,,400.0
36,2025-02-25,Cliente_025,Tablet,Celulares,Nordeste,3,1955.18
37,2025-12-04,Cliente_013,Headset,Perifericos,Norte,4,320.91
38,2025-01-15,CLIENTE-008,Monitor,Computadores,Norte,9,1139.21
39,2025-06-10,Cliente_028,Monitor,Computadores,Centro-Oeste,6,1282.28
40,2025-10-03,CLIENTE-044,Notebook,Computadores,Nordeste,9,3946.85
41,2025-03-05,Cliente_047,Teclado,Perifericos,Norte,6,262.25
42,2025-07-14,Cliente_044,Smartphone,Celulares,Nordeste,4,2147.49
43,2025-10-24,Cliente_039,Tablet,Celulares,Sul,4,1762.14
44,2025-12-06,Cliente_041,Mouse,Perifericos,Sul,2,112.22
45,2025-09-01,Cliente_040,Smartphone,Celulares,Centro-Oeste,1,1900.5
46,2025-12-02,Cliente_045,Monitor,Computadores,Sul,,1107.83
47,2025-10-13,Cliente_016,Headset,Perifericos,Norte,9,346.28
48,2025-08-15,Cliente_040,Teclado,Perifericos,Sul,6,283.75
49,2025-05-07,Cliente_041,Mouse,Perifericos,Nordeste,8,118.2
50,2025-10-04,CLIENTE-006,Smartphone,Celulares,Centro-Oeste,5,2091.66
51,2025-02-01,CLIENTE-014,Tablet,Celulares,Norte,9,1781.6
52,2025-06-30,Cliente_020,Monitor,Computadores,Norte,8,1022.12
53,2025-09-07,Cliente_015,Headset,Perifericos,Sul,10,391.77
54,DATA INVALIDA,Cliente_035,Headset,Perifericos,Sul,,394.05
55,2025-05-14,Cliente_025,Headset,Perifericos,Centro-Oeste,8,316.58
56,2025-10-04,Cliente_004,Tablet,Celulares,Sudeste,2,1783.97
57,2025-11-15,Cliente_010,Smartphone,Celulares,Nordeste,4,2423.89
58,2025-11-07,Cliente_048,Headset,Perifericos,Nordeste,6,315.12
59,2025-04-12,Cliente_005,Teclado,Perifericos,Norte,7,242.25
60,2025-10-17,Cliente_003,Headset,Perifericos,Centro-Oeste,2,381.1
61,2025-07-05,Cliente_041,Headset,Perifericos,Nordeste,8,308.58
62,2025-08-27,Cliente_028,Teclado,Perifericos,Nordeste,9,270.6
63,2025-10-19,Cliente_040,Monitor,Computadores,Nordeste,4,1290.17
64,2025-11-02,Cliente_045,Headset,Perifericos,Centro-Oeste,5,333.24
65,2025-12-20,Cliente_031,Monitor,Computadores,Sul,9,1292.94
66,2025-10-11,Cliente_034,Tablet,Celulares,Nordeste,10,1729.27
67,2025-04-09,Cliente_021,Tablet,Celulares,Centro-Oeste,4,1595.15
68,2025-09-26,Cliente_039,Tablet,Celulares,Sudeste,10,2057.37
69,2025-01-24,Cliente_004,Mouse,Perifericos,Sudeste,9,106.56
70,2025-08-14,Cliente_022,Teclado,Perifericos,Centro-Oeste,5,247.7
71,2025-12-18,Cliente_004,Monitor,Computadores,Norte,2,1227.73
72,2025-11-13,Cliente_015,Headset,Perifericos,Centro-Oeste,7,361.16
73,2025-11-09,CLIENTE-048,Tablet,Celulares,Sul,10,1865.35
74,2025-01-02,Cliente_027,Smartphone,Celulares,Centro-Oeste,9,1919.54
75,2025-11-17,Cliente_038,Notebook,Computadores,Nordeste,4,3945.11
76,2025-03-26,Cliente_020,Headset,Perifericos,Nordeste,3,305.0
77,2025-09-14,Cliente_035, Mouse ,Perifericos,Nordeste,7,135.94
78,2025-12-12,Cliente_037,Notebook,Computadores,Sul,2,
79,2025-05-23,Cliente_012,Monitor,Computadores,Centro-Oeste,9,1254.54
80,2025-03-24,Cliente_022,Tablet,Celulares,Sudeste,6,1891.87
81,2025-06-15,Cliente_008,Monitor,Computadores,Norte,2,1133.23
82,2025-09-23,Cliente_024,Monitor,Computadores,Sul,7,1039.51
83,2025-09-06,Cliente_008,Tablet,Celulares,Sudeste,,2005.66
84,2025-02-28,Cliente_030,Teclado,Perifericos,Nordeste,7,219.49
85,2025-05-05,Cliente_030,Monitor,Computadores,Sudeste,8,1372.89
86,2025-09-17,Cliente_018,Tablet,Celulares,Centro-Oeste,7,1713.53
87,2025-09-05,Cliente_023,Headset,Perifericos,Sul,3,344.39
88,2025-07-30,Cliente_003,Teclado,Perifericos,Sul,7,230.02
89,2025-10-30,Cliente_022,Monitor,Computadores,Sul,1,1065.45
90,2025-05-16,Cliente_022,Monitor,Computadores,Norte,3,1046.94
91,2025-09-07,Cliente_035,Monitor,Computadores,Sudeste,,1245.65
92,2025-12-27,Cliente_007,Monitor,Computadores,Nordeste,2,1293.73
93,2025-05-06,Cliente_034,Tablet,Celulares,Centro-Oeste,6,1762.57
94,2025-10-26,Cliente_010,Teclado,Perifericos,Centro-Oeste,4,249.83
95,2025-08-15,Cliente_023,Tablet,Celulares,Nordeste,9,1615.31
96,2025-02-24,CLIENTE-016,Smartphone,Celulares,Centro-Oeste,7,2433.2
97,2025-12-18,Cliente_050,Tablet,Celulares,Nordeste,1,1835.6
98,2025-06-30,Cliente_015,Headset,Perifericos,Sul,4,361.24
99,2025-11-27,CLIENTE-003,Mouse,Perifericos,Nordeste,2,134.52
100,2025-03-09,Cliente_035,Tablet,Celulares,Centro-Oeste,7,1624.85
101,2025-06-23,Cliente_008,Headset,Perifericos,Centro-Oeste,5,375.89
102,2025-07-22,Cliente_001,Headset,Perifericos,Centro-Oeste,9,335.91
103,2025-04-30,Cliente_031,Headset,Perifericos,Sudeste,,308.88
104,2025-06-04,Cliente_042,Mouse,Perifericos,Sudeste,8,134.74
105,2025-08-21,Cliente_024,Smartphone,Celulares,Sul,9,1959.54
106,2025-11-12,Cliente_027,Monitor,Computadores,Sul,2,1320.13
107,2025-12-18,Cliente_024,Headset,Perifericos,Sudeste,6,307.93
108,2025-04-19,Cliente_042, Headset ,Perifericos,Norte,8,307.13
109,2025-10-11,Cliente_014,Smartphone,Celulares,Norte,2,2417.68
110,2025-03-16,Cliente_009,Notebook,Computadores,Nordeste,5,3876.33
111,2025-01-09,CLIENTE-012,Headset,Perifericos,Centro-Oeste,4,359.33
112,2025-02-25,Cliente_029, Headset ,Perifericos,Norte,6,351.39
113,2025-01-16,Cliente_004,Tablet,Celulares,Centro-Oeste,8,1877.4
114,2025-03-17,Cliente_005,Notebook,Computadores,Norte,2,3313.22
115,2025-11-06,Cliente_028,Teclado,Perifericos,Sul,5,246.53
116,2025-07-31,Cliente_022,Monitor,Computadores,Nordeste,8,1339.71
117,2025-08-31,Cliente_005,Tablet,Celulares,Sul,3,1900.88
118,2025-10-15,Cliente_036,Teclado,Perifericos,Sudeste,1,256.48
119,2025-02-23,Cliente_037,Tablet,Celulares,Norte,10,1698.72
120,2025-10-21,Cliente_015,Tablet,Celulares,Norte,2,1941.81
121,2025-12-22,Cliente_018,Notebook,Computadores,Sul,,3950.54
122,2025-07-25,Cliente_005, Headset ,Perifericos,Centro-Oeste,3,356.96
123,2025-06-09,Cliente_047,Monitor,Computadores,Norte,6,1076.67
124,2025-12-05,Cliente_028,Notebook,Computadores,Centro-Oeste,2,3260.71
125,2025-10-31,CLIENTE-032,Notebook,Computadores,Sul,5,3687.13
126,2025-05-11,Cliente_019,Tablet,Celulares,Sul,4,
127,2025-07-01,CLIENTE-005,Teclado,Perifericos,Nordeste,9,275.0
128,2025-12-30,Cliente_041, Teclado ,Perifericos,Norte,7,255.5
129,2025-02-24,Cliente_016,Monitor,Computadores,Sul,6,1051.73
130,2025-11-21,Cliente_008,Tablet,Celulares,Sul,3,1571.24
131,2025-04-12,Cliente_012,Smartphone,Celulares,Centro-Oeste,2,1966.65
132,2025-08-18,Cliente_044,Monitor,Computadores,Nordeste,10,1293.56
133,2025-08-15,Cliente_041, Smartphone ,Celulares,Centro-Oeste,8,1915.07
134,2025-05-27,Cliente_005,Notebook,Computadores,Norte,1,3362.17
135,2025-10-20,Cliente_042,Teclado,Perifericos,Nordeste,1,246.23
136,2025-03-30,Cliente_003,Mouse,Perifericos,Nordeste,2,120.16
137,2025-06-23,CLIENTE-044,Tablet,Celulares,Centro-Oeste,7,1750.74
138,2025-12-03,Cliente_039,Tablet,Celulares,Centro-Oeste,5,1920.82
139,2025-02-13,Cliente_020,Smartphone,Celulares,Norte,10,2337.83
140,2025-01-10,Cliente_024,Notebook,Computadores,Sul,7,3508.91
141,2025-02-21,Cliente_033,Smartphone,Celulares,Norte,2,2065.22
142,2025-03-25,Cliente_012,Smartphone,Celulares,Centro-Oeste,10,2118.64
143,2025-11-09,Cliente_019,Tablet,Celulares,Centro-Oeste,4,2053.58
144,2025-10-20,Cliente_029,Headset,Perifericos,Sul,4,336.12
145,2025-05-09,Cliente_004,Headset,Perifericos,Sudeste,10,312.03
146,2025-05-20,Cliente_029,Tablet,Celulares,Centro-Oeste,2,1942.08
147,2025-07-22,Cliente_033,Tablet,Celulares,Sudeste,1,1754.04
148,2025-03-12,Cliente_003,Headset,Perifericos,Centro-Oeste,6,380.59
149,2025-01-10,Cliente_017,Teclado,Perifericos,Nordeste,1,280.44
150,2025-05-03,Cliente_027,Smartphone,Celulares,Norte,5,1950.42
151,2025-03-15,Cliente_019,Notebook,Computadores,Sudeste,9,3578.8
152,2025-09-27,Cliente_035,Teclado,Perifericos,Centro-Oeste,6,217.58
153,2025-07-02,Cliente_005,Tablet,Celulares,Nordeste,5,1933.55
154,2025-06-23,Cliente_042,Smartphone,Celulares,Sul,1,2102.52
155,2025-04-14,Cliente_003,Notebook,Computadores,Norte,8,3013.83
156,2025-11-28,Cliente_013, Monitor ,Computadores,Nordeste,5,1033.18
157,2025-07-17,Cliente_022,Monitor,Computadores,Sudeste,7,1287.59
158,2025-11-05,Cliente_012,Mouse,Perifericos,Norte,7,104.84
159,2025-08-16,Cliente_023,Mouse,Perifericos,Sudeste,7,108.0
160,2025-12-14,CLIENTE-011,Notebook,Computadores,Sudeste,7,3356.48
161,2025-10-18,Cliente_003,Smartphone,Celulares,Norte,6,2109.02
162,2025-06-10,Cliente_042, Smartphone ,Celulares,Norte,9,2112.19
163,2025-12-27,Cliente_029,Notebook,Computadores,Sul,5,3788.71
164,2025-08-16,Cliente_006,Headset,Perifericos,Norte,2,344.96
165,2025-03-22,Cliente_046,Teclado,Perifericos,Sul,5,279.35
166,2025-09-10,Cliente_002,Headset,Perifericos,Sudeste,3,322.36
167,2025-09-03,Cliente_034,Notebook,Computadores,Sudeste,5,3393.07
168,2025-06-26,Cliente_009,Monitor,Computadores,Centro-Oeste,8,1264.84
169,2025-09-23,Cliente_010,Teclado,Perifericos,Norte,1,274.85
170,2025-11-22,Cliente_036,Tablet,Celulares,Norte,2,1665.33
171,2025-11-16,Cliente_047,Teclado,Perifericos,Sudeste,3,225.34
172,2025-04-18,Cliente_050, Notebook ,Computadores,Nordeste,10,3252.89
173,2025-12-17,Cliente_026, Monitor ,Computadores,Sul,4,1309.69
174,2025-06-13,Cliente_047,Tablet,Celulares,Sudeste,10,1607.58
175,2025-05-17,Cliente_029,Tablet,Celulares,Sul,4,1781.9
176,2025-10-23,Cliente_047,Headset,Perifericos,Nordeste,3,382.92
177,2025-07-21,Cliente_033,Monitor,Computadores,Norte,1,1052.42
178,2025-01-05,Cliente_007,Headset,Perifericos,Centro-Oeste,8,327.5
179,2025-07-05,Cliente_036,Notebook,Computadores,Norte,10,3564.91
180,2025-02-19,Cliente_026,Mouse,Perifericos,Norte,10,106.28
181,2025-01-24,Cliente_003,Teclado,Perifericos,Norte,7,250.01
182,2025-06-13,Cliente_011,Smartphone,Celulares,Norte,6,2484.7
183,2025-06-03,Cliente_031,Teclado,Perifericos,Sudeste,8,265.66
184,2025-12-02,Cliente_050, Teclado ,Perifericos,Norte,8,232.41
185,DATA INVALIDA,Cliente_016,Headset,Perifericos,Sul,,313.02
186,2025-11-10,Cliente_031,Monitor,Computadores,Nordeste,4,1167.74
187,2025-06-10,Cliente_012,Mouse,Perifericos,Nordeste,8,120.92
188,2025-05-07,Cliente_018,Teclado,Perifericos,Sul,8,226.92
189,2025-06-28,Cliente_036,Mouse,Perifericos,Centro-Oeste,8,113.41
190,2025-03-16,Cliente_019,Monitor,Computadores,Centro-Oeste,,1363.66
191,2025-05-19,Cliente_036,Smartphone,Celulares,Norte,4,2416.45
192,DATA INVALIDA,Cliente_022,Smartphone,Celulares,Sul,4,1904.64
193,2025-04-13,CLIENTE-049,Monitor,Computadores,Norte,8,1191.88
194,2025-01-20,Cliente_012,Smartphone,Celulares,Centro-Oeste,9,2357.53
195,2025-01-05,Cliente_020,Smartphone,Celulares,Norte,5,2448.65
196,2025-03-10,Cliente_033,Teclado,Perifericos,Nordeste,8,279.19
197,2025-06-22,Cliente_019,Mouse,Perifericos,Centro-Oeste,3,102.51
198,2025-12-09,Cliente_007,Teclado,Perifericos,Sul,6,219.01
199,2025-06-04,CLIENTE-038,Monitor,Computadores,Sudeste,5,
200,2025-12-18,Cliente_033,Monitor,Computadores,Nordeste,5,1077.5
